subject ROI    y     x
HMN143 LIPL 0.4801 18.68
HMN144 LIPL 0.0045 16.24
HMN161_W2 LIPL 0.5247 16.14
HMN167 LIPL 0.2893 16.12
HMN169 LIPL 0.0977 16.55
HMN172 LIPL -0.1691 16.24
HMN174 LIPL 0.0714 18
HMN175 LIPL 0.2962 19.79
HMN178 LIPL 0.0809 16.95
HMN180 LIPL 0.4552 16.86
HMN182 LIPL -0.0339 17.95
HMN183 LIPL 0.3606 18.6
HMN184 LIPL 0.3284 17.12
HMN186 LIPL -0.0869 17.07
HMN187 LIPL 0.2185 19.6
HMN188 LIPL 0.325 18.1
HMN189 LIPL 0.3813 16.74
HMN190 LIPL 0.0767 17.33
HMN191 LIPL 0.1133 17.98
HMN193 LIPL 0.019 11.4
HMN194 LIPL 0.2273 18.93
HMN196 LIPL 0.3036 19.31
HMN197 LIPL 0.3244 18
HMN199 LIPL 0.3793 15.26
HMN201 LIPL 0.706 17.21
HMN001 LSFG 0.2324 17.76
HMN002 LSFG 0.1122 17.05
HMN003 LSFG 0.336 15.81
HMN004 LSFG -0.2952 15.19
HMN005 LSFG 0.3824 17.31
HMN006 LSFG 0.1881 19.9
HMN007 LSFG 0.2537 16.76
HMN008 LSFG -0.0695 19.48
HMN011 LSFG 0.3292 16.88
HMN012 LSFG 0.1305 19.29
HMN013 LSFG 3e-04 19.62
HMN014 LSFG 0.4526 17.48
HMN018 LSFG 0.102 17.95
HMN019 LSFG 0.0536 19.07
HMN020 LSFG 0.448 17.33
HMN021 LSFG -0.1369 18.19
HMN023 LSFG 0.2398 19.57
HMN024 LSFG 0.0668 18.75
HMN025 LSFG -0.0483 18.95
HMN026 LSFG 0.065 18.14
HMN027 LSFG 0 18.98
HMN028 LSFG 0.0972 17.88
HMN029 LSFG 0.1165 19.71
HMN030 LSFG -0.1543 15.93
HMN031 LSFG 0.2449 15.76
HMN032 LSFG 0.3701 18.29
HMN033 LSFG -0.0285 11.24
HMN035 LSFG 0.4545 17.76
HMN037 LSFG -0.0765 17.41
HMN038 LSFG 0.2888 17.81
HMN039 LSFG -0.0279 17.12
HMN040 LSFG 0.0798 13.02
HMN041 LSFG 0.2791 16.83
HMN042 LSFG 0.1285 16.69
HMN043 LSFG 0.1107 16.48
HMN045 LSFG 0.022 19.46
HMN048 LSFG -0.0856 15.86
HMN049 LSFG 0.1449 16.76
HMN050_2 LSFG 0.3011 19.05
HMN052 LSFG 0.2255 18.76
HMN053 LSFG 0.0457 11.88
HMN055 LSFG -0.02 15.69
HMN056 LSFG -0.0684 19.95
HMN057 LSFG 0.3034 17.45
HMN058 LSFG 0.1604 18.6
